concept_id,concept_code,concept_name,vocabulary_id,cluster
193782,46177005,End-stage renal disease,SNOMED,CKD_allstage
196991,236425005,Chronic renal impairment,SNOMED,CKD_allstage
198185,90688005,Chronic renal failure,SNOMED,CKD_allstage
443597,433144002,Chronic kidney disease stage 3,SNOMED,CKD_allstage
443601,431856006,Chronic kidney disease stage 2,SNOMED,CKD_allstage
443611,433146000,Chronic kidney disease stage 5,SNOMED,CKD_allstage
443612,431857002,Chronic kidney disease stage 4,SNOMED,CKD_allstage
443614,431855005,Chronic kidney disease stage 1,SNOMED,CKD_allstage
443961,49708008,Anemia of chronic renal failure,SNOMED,CKD_allstage
725440,N18.30,"Chronic kidney disease, stage 3 unspecified",ICD10CM,CKD_allstage
725440,N1830,"Chronic kidney disease, stage 3 unspecified",ICD10CM,CKD_allstage
725441,N18.31,"Chronic kidney disease, stage 3a",ICD10CM,CKD_allstage
725441,N1831,"Chronic kidney disease, stage 3a",ICD10CM,CKD_allstage
725442,N18.32,"Chronic kidney disease, stage 3b",ICD10CM,CKD_allstage
725442,N1832,"Chronic kidney disease, stage 3b",ICD10CM,CKD_allstage
760850,1.20261E+14,Benign hypertensive heart disease and chronic renal disease stage 5,SNOMED,CKD_allstage
762000,2.85061E+14,Benign hypertensive heart disease and chronic renal disease stage 2,SNOMED,CKD_allstage
762001,2.85081E+14,Benign hypertensive heart disease and chronic renal disease stage 3,SNOMED,CKD_allstage
762033,2.85911E+14,Malignant hypertensive heart disease and chronic renal disease stage 3,SNOMED,CKD_allstage
762034,2.85921E+14,Malignant hypertensive heart disease and chronic renal disease stage 4,SNOMED,CKD_allstage
762973,4.34431E+14,Hypertensive end stage renal disease,SNOMED,CKD_allstage
764011,4.49631E+14,Benign hypertensive heart disease and chronic renal disease,SNOMED,CKD_allstage
765535,2.85041E+14,Benign hypertensive heart disease and chronic renal disease stage 1,SNOMED,CKD_allstage
765536,2.85101E+14,Benign hypertensive heart disease and chronic renal disease stage 4,SNOMED,CKD_allstage
1569121,I12,Hypertensive chronic kidney disease,ICD10CM,CKD_allstage
1569122,I13,Hypertensive heart and chronic kidney disease,ICD10CM,CKD_allstage
1569123,I13.1,Hypertensive heart and chronic kidney disease without heart failure,ICD10CM,CKD_allstage
1569123,I131,Hypertensive heart and chronic kidney disease without heart failure,ICD10CM,CKD_allstage
1571486,N18,Chronic kidney disease (CKD),ICD10CM,CKD_allstage
1571639,O10.2,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,CKD_allstage
1571639,O102,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,CKD_allstage
1571640,O10.21,Pre-existing hypertensive chronic kidney disease complicating pregnancy,ICD10CM,CKD_allstage
1571640,O1021,Pre-existing hypertensive chronic kidney disease complicating pregnancy,ICD10CM,CKD_allstage
1571641,O10.3,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,CKD_allstage
1571641,O103,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,CKD_allstage
1571642,O10.31,Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy,ICD10CM,CKD_allstage
1571642,O1031,Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy,ICD10CM,CKD_allstage
3543812,7.68681E+14,H/O: chronic kidney disease,SNOMED,CKD_allstage
3547154,9.39221E+14,Chronic kidney disease resolved,SNOMED,CKD_allstage
3553407,2.00431E+14,Chronic kidney disease stage 1,SNOMED,CKD_allstage
3553408,2.00461E+14,Chronic kidney disease stage 4,SNOMED,CKD_allstage
3553409,2.00471E+14,Chronic kidney disease stage 5,SNOMED,CKD_allstage
3553775,2.11901E+14,Chronic renal impairment,SNOMED,CKD_allstage
3553776,2.11921E+14,Chronic kidney disease stage 1,SNOMED,CKD_allstage
3553777,2.11931E+14,Chronic kidney disease stage 1,SNOMED,CKD_allstage
3553778,2.11951E+14,Chronic kidney disease stage 2,SNOMED,CKD_allstage
3553779,2.11971E+14,Chronic kidney disease stage 3,SNOMED,CKD_allstage
3553780,2.11991E+14,Chronic kidney disease stage 4,SNOMED,CKD_allstage
3554166,2.19601E+14,End stage renal disease,SNOMED,CKD_allstage
3555421,3.24131E+14,Chronic kidney disease stage 1 with proteinuria,SNOMED,CKD_allstage
3555422,3.24141E+14,Chronic kidney disease stage 1 with proteinuria,SNOMED,CKD_allstage
3555423,3.24161E+14,Chronic kidney disease stage 1 without proteinuria,SNOMED,CKD_allstage
3555424,3.24171E+14,Chronic kidney disease stage 1 without proteinuria,SNOMED,CKD_allstage
3555425,3.24191E+14,Chronic kidney disease stage 1 with proteinuria,SNOMED,CKD_allstage
3555426,3.24201E+14,Chronic kidney disease stage 1 with proteinuria,SNOMED,CKD_allstage
3555427,3.24221E+14,Chronic kidney disease stage 2 without proteinuria,SNOMED,CKD_allstage
3555428,3.24231E+14,Chronic kidney disease stage 2 without proteinuria,SNOMED,CKD_allstage
3555429,3.24261E+14,Chronic kidney disease stage 3 with proteinuria,SNOMED,CKD_allstage
3555430,3.24271E+14,Chronic kidney disease stage 3 with proteinuria,SNOMED,CKD_allstage
3555431,3.24291E+14,Chronic kidney disease stage 3 without proteinuria,SNOMED,CKD_allstage
3555432,3.24301E+14,Chronic kidney disease stage 3 without proteinuria,SNOMED,CKD_allstage
3555433,3.24321E+14,Chronic kidney disease stage 3A with proteinuria,SNOMED,CKD_allstage
3555434,3.24331E+14,Chronic kidney disease stage 3A with proteinuria,SNOMED,CKD_allstage
3555435,3.24351E+14,Chronic kidney disease stage 3A without proteinuria,SNOMED,CKD_allstage
3555436,3.24361E+14,Chronic kidney disease stage 3A without proteinuria,SNOMED,CKD_allstage
3555437,3.24381E+14,Chronic kidney disease stage 3B with proteinuria,SNOMED,CKD_allstage
3555438,3.24391E+14,Chronic kidney disease stage 3B with proteinuria,SNOMED,CKD_allstage
3555439,3.24421E+14,Chronic kidney disease stage 3B without proteinuria,SNOMED,CKD_allstage
3555440,3.24431E+14,Chronic kidney disease stage 3B without proteinuria,SNOMED,CKD_allstage
3555441,3.24451E+14,Chronic kidney disease stage 4 with proteinuria,SNOMED,CKD_allstage
3555442,3.24461E+14,Chronic kidney disease stage 4 with proteinuria,SNOMED,CKD_allstage
3555443,3.24481E+14,Chronic kidney disease stage 4 without proteinuria,SNOMED,CKD_allstage
3555444,3.24491E+14,Chronic kidney disease stage 4 without proteinuria,SNOMED,CKD_allstage
3555445,3.24511E+14,Chronic kidney disease stage 5 with proteinuria,SNOMED,CKD_allstage
3555446,3.24521E+14,Chronic kidney disease stage 5 with proteinuria,SNOMED,CKD_allstage
3555447,3.24551E+14,Chronic kidney disease stage 5 without proteinuria,SNOMED,CKD_allstage
3555448,3.24561E+14,Chronic kidney disease stage 5 without proteinuria,SNOMED,CKD_allstage
3555546,3.37491E+14,Chronic kidney disease stage 3B,SNOMED,CKD_allstage
3556614,4.34421E+14,Hypertensive chronic kidney disease,SNOMED,CKD_allstage
3558295,7.09381E+14,Acute-on-chronic renal failure,SNOMED,CKD_allstage
3559375,8.34001E+14,Chronic kidney disease stage 1,SNOMED,CKD_allstage
3559376,8.34011E+14,Chronic kidney disease stage 2,SNOMED,CKD_allstage
3559377,8.34021E+14,Chronic kidney disease stage 3,SNOMED,CKD_allstage
3559378,8.34031E+14,Chronic kidney disease stage 4,SNOMED,CKD_allstage
3559379,8.34041E+14,Chronic kidney disease stage 5,SNOMED,CKD_allstage
3561143,9.49411E+14,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A1,SNOMED,CKD_allstage
3561144,9.49431E+14,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A2,SNOMED,CKD_allstage
3561145,9.49491E+14,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A3,SNOMED,CKD_allstage
3561146,9.49531E+14,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A1,SNOMED,CKD_allstage
3561147,9.49571E+14,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A2,SNOMED,CKD_allstage
3561148,9.49631E+14,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A3,SNOMED,CKD_allstage
