concept_id,concept_code,concept_name,vocabulary_id,cluster
132685,198985009,Severe pre-eclampsia - not delivered,SNOMED,hypertension
134414,199000005,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication,SNOMED,hypertension
135601,198999008,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered,SNOMED,hypertension
136743,199002002,Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered,SNOMED,hypertension
136760,198967002,Transient hypertension of pregnancy - not delivered,SNOMED,hypertension
137940,198965005,Transient hypertension of pregnancy - delivered,SNOMED,hypertension
141084,198997005,Pre-eclampsia or eclampsia with pre-existing hypertension,SNOMED,hypertension
141639,198966006,Transient hypertension of pregnancy - delivered with postnatal complication,SNOMED,hypertension
312648,1201005,Benign essential hypertension,SNOMED,hypertension
314090,41114007,Mild pre-eclampsia,SNOMED,hypertension
314103,198944004,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered",SNOMED,hypertension
314423,198946002,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered",SNOMED,hypertension
314958,194785008,Benign secondary hypertension,SNOMED,hypertension
316866,38341003,Hypertensive disorder,SNOMED,hypertension
317895,123799005,Renovascular hypertension,SNOMED,hypertension
317898,78975002,Malignant essential hypertension,SNOMED,hypertension
318437,89242004,Malignant secondary hypertension,SNOMED,hypertension
319826,31992008,Secondary hypertension,SNOMED,hypertension
320128,59621000,Essential hypertension,SNOMED,hypertension
320456,198945003,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication",SNOMED,hypertension
321074,199005000,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium",SNOMED,hypertension
321080,198941007,"Hypertension complicating pregnancy, childbirth and the puerperium",SNOMED,hypertension
321638,198942000,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium",SNOMED,hypertension
433536,46764007,Severe pre-eclampsia,SNOMED,hypertension
438490,198983002,Severe pre-eclampsia - delivered,SNOMED,hypertension
439077,198984008,Severe pre-eclampsia - delivered with postnatal complication,SNOMED,hypertension
439393,398254007,Pre-eclampsia,SNOMED,hypertension
441922,237279007,Transient hypertension of pregnancy,SNOMED,hypertension
443771,28119000,Renal hypertension,SNOMED,hypertension
762994,4.35E+14,Perioperative hypertension,SNOMED,hypertension
1569124,I15,Secondary hypertension,ICD10CM,hypertension
1571652,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,ICD10CM,hypertension
1571659,O16,Unspecified maternal hypertension,ICD10CM,hypertension
4023318,10562009,Malignant hypertension complicating AND/OR reason for care during childbirth,SNOMED,hypertension
4028741,10725009,Benign hypertension,SNOMED,hypertension
4028951,23786008,Malignant hypertension complicating AND/OR reason for care during puerperium,SNOMED,hypertension
4034031,23717007,Benign essential hypertension complicating AND/OR reason for care during pregnancy,SNOMED,hypertension
4034094,237281009,Moderate proteinuric hypertension of pregnancy,SNOMED,hypertension
4034095,237282002,Impending eclampsia,SNOMED,hypertension
4035655,15394000,Toxemia of pregnancy,SNOMED,hypertension
4048212,123800009,Goldblatt hypertension,SNOMED,hypertension
4049389,23130000,Paroxysmal hypertension,SNOMED,hypertension
4057976,198986005,Severe pre-eclampsia with postnatal complication,SNOMED,hypertension
4058987,19769006,High-renin essential hypertension,SNOMED,hypertension
4061667,169465000,Hypertension induced by oral contraceptive pill,SNOMED,hypertension
4062811,198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication",SNOMED,hypertension
4062906,198968007,Transient hypertension of pregnancy with postnatal complication,SNOMED,hypertension
4071202,206596003,Neonatal hypertension,SNOMED,hypertension
4108213,194791005,Hypertension secondary to drug,SNOMED,hypertension
4110947,194783001,Malignant secondary renovascular hypertension,SNOMED,hypertension
4110948,194788005,Hypertension secondary to endocrine disorder,SNOMED,hypertension
4118910,288250001,Maternal hypertension,SNOMED,hypertension
4146627,307632004,Non-proteinuric hypertension of pregnancy,SNOMED,hypertension
4148205,35303009,Benign essential hypertension complicating AND/OR reason for care during puerperium,SNOMED,hypertension
4159755,371125006,Labile essential hypertension,SNOMED,hypertension
4162306,29259002,Malignant hypertension complicating AND/OR reason for care during pregnancy,SNOMED,hypertension
4167358,48146000,Diastolic hypertension,SNOMED,hypertension
4167493,48194001,Pregnancy-induced hypertension,SNOMED,hypertension
4179379,429198000,Exertional hypertension,SNOMED,hypertension
4180283,429457004,Systolic essential hypertension,SNOMED,hypertension
4199306,52698002,Transient hypertension,SNOMED,hypertension
4209293,56218007,Systolic hypertension,SNOMED,hypertension
4215640,71874008,Benign essential hypertension complicating AND/OR reason for care during childbirth,SNOMED,hypertension
4217486,72022006,Essential hypertension in obstetric context,SNOMED,hypertension
4218088,81626002,Malignant hypertension in obstetric context,SNOMED,hypertension
4221991,84094009,Rebound hypertension,SNOMED,hypertension
4227607,8762007,Chronic hypertension in obstetric context,SNOMED,hypertension
4242878,59720008,Sustained diastolic hypertension,SNOMED,hypertension
4253928,74451002,Secondary diastolic hypertension,SNOMED,hypertension
4262182,397748008,Hypertension with albuminuria,SNOMED,hypertension
4263067,46481004,Low-renin essential hypertension,SNOMED,hypertension
4269358,63287004,Benign essential hypertension in obstetric context,SNOMED,hypertension
4276511,65518004,Labile diastolic hypertension,SNOMED,hypertension
4279525,367390009,Hypertension in the obstetric context,SNOMED,hypertension
4289933,70272006,Malignant hypertension,SNOMED,hypertension
4291933,37618003,Chronic hypertension complicating AND/OR reason for care during pregnancy,SNOMED,hypertension
4302591,78808002,Essential hypertension complicating AND/OR reason for care during pregnancy,SNOMED,hypertension
4304837,8218002,Chronic hypertension complicating AND/OR reason for care during childbirth,SNOMED,hypertension
4321603,9901000,Essential hypertension complicating AND/OR reason for care during puerperium,SNOMED,hypertension
4322735,427889009,Hypertension associated with transplantation,SNOMED,hypertension
35207668,I10,Essential (primary) hypertension,ICD10CM,hypertension
